Street,Neighborhood,City,Size,Bedrooms,Bathrooms,Vacancies,Advertisement_Value,Square_Meter_Value,just_street,street,zip_code,latitude,longitude,Point,setor_censo
Rua Inglaterra,Jardim Europa,São Paulo,756,5,4,10,37000000.0,1972.972972972973,rua inglaterra,rua inglaterra,13471630.0,-22.7258493,-47.3399273,POINT (-47.3399273 -22.7258493),
"Avenida Ibiúna, 736 ",Vila Aricanduva,São Paulo,500,4,3,4,1200000.0,25417.48254475953,avenida ibiúna,avenida ibiúna,3507010.0,-23.5380317,-46.5382892,POINT (-46.5382892 -23.5380317),355030891000122.0
,Brooklin Paulista,São Paulo,400,5,6,4,2500000.0,6410.386965376782,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
,Sumaré,São Paulo,627,3,6,6,4950000.0,8498.583569405098,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Coronel Octávio Azeredo,Vila Mazzei,São Paulo,80,3,1,2,420000.0,4363.636363636364,rua coronel octávio azeredo,rua coronel octávio azeredo,2311110.0,-23.4685856,-46.6016164,POINT (-46.6016164 -23.4685856),355030882000154.0
"Rua Drosera, 120 ",Pirituba,São Paulo,190,3,2,4,920000.0,6366.666666666667,rua drosera,rua drosera,2945120.0,-23.4814831,-46.7252154,POINT (-46.7252154 -23.4814831),355030863000001.0
,Jardim Paulista,São Paulo,1060,5,5,4,30000000.0,3502.6486486486488,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua Timbó,Mooca,São Paulo,170,3,2,2,940000.0,2625.0,rua timbó,rua timbó,13098348.0,-22.8193561,-47.0197238,POINT (-47.0197238 -22.8193561),
"Rua Prudentópolis, 97 ",Boaçava,São Paulo,1192,4,3,6,6200000.0,9350.64935064935,rua prudentópolis,rua prudentópolis,5471020.0,-23.5398467,-46.7257229,POINT (-46.7257229 -23.5398467),355030802000061.0
,Vila Gustavo,São Paulo,200,4,3,1,550000.0,5153.284671532847,,,18125000.0,-23.5310431,-47.2550228,POINT (-47.2550228 -23.5310431),
Rua José Clemente,Jardim Paulista,São Paulo,724,4,6,3,8000000.0,2116.1290322580644,rua josé clemente,rua josé clemente,19803045.0,-22.6765717,-50.4354511,POINT (-50.4354511 -22.6765717),
"Rua Araripe, 145 ",Vila Califórnia,São Paulo,300,6,3,2,430000.0,1494.5054945054944,rua araripe,rua araripe,9942051.0,-23.6781897,-46.5982602,POINT (-46.5982602 -23.6781897),
"Rua Lavras do Sul, 206 ",Vila Carolina,São Paulo,120,4,3,2,650000.0,4164.583333333333,rua lavras do sul,rua lavras do sul,2724030.0,-23.4969321,-46.6810979,POINT (-46.6810979 -23.4969321),355030850000028.0
Rua Marco Aurélio,Vila Romana,São Paulo,160,3,4,2,940000.0,3420.289855072464,rua marco aurélio,rua marco aurélio,9260640.0,-23.6329624,-46.4905156,POINT (-46.4905156 -23.6329624),
